Intencity / Wave,System Arc,System Radius,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,# Asteroids,Target Remaining DC,SUM OF SHIPS,% wave toughness increase (Not used in the game),%3 star increase (Not used in the game),2 Star Score,3 Star Score,Alloy 1 Star,Alloy 2 Star,Alloy 3 Star,1 Star Bonus,2 Star Bonus,3 Star Bonus,Flying Saucer % per wave,Seed,Environment Seed,Galaxy Name,System Name,Galaxy Map X,Galaxy Map Y,Galaxy Map Image,Midground Objects,BG Image,Fog Image,System Warning 1,System Warning 2,System Warning 3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Galaxy 2 Level 1,5,640,250,20,100,50,20,120,10,10,30,40,100,40,20,120,20,30,40,60,40,20,30,40,70,100,60,,295,1296,,-36.69%,1352,1591,91,100,109,1,1.10,1.25,0.00%,1664717,1664717,Kepler's Galaxy,DeLarge System,0,0,s,Yes,,,,,
Galaxy 2 Level 2,2,640,50,120,20,40,50,100,30,10,130,40,60,40,10,40,50,100,20,30,210,30,50,60,130,30,70,,295,1368,,4.53%,1414,1663,93,102,112,1,1.10,1.25,20.00%,1000374,1000374,Kepler's Galaxy,Romita System,150,50,b,Yes,,,,,
Galaxy 2 Level 3,0,640,10,20,30,40,10,20,40,20,30,40,10,20,40,40,40,20,10,40,30,40,50,60,20,20,50,,295,675,,-41.67%,825,970,95,105,114,1,1.10,1.25,15.00%,2871535,2871535,Kepler's Galaxy,Sinistar System,200,-160,c,Yes,,,,,
Galaxy 2 Level 4,1,640,10,20,30,50,10,20,30,50,50,10,20,30,40,70,10,20,40,50,80,40,10,20,40,70,90,,295,819,,14.85%,947,1114,97,107,116,1,1.10,1.25,10.00%,3297444,3297444,Kepler's Galaxy,Ming System,350,190,d,Yes,,,,,
Galaxy 2 Level 5,3,640,60,40,20,30,40,40,10,20,40,80,50,20,20,30,50,100,30,20,30,40,100,30,50,130,40,,295,1008,,16.97%,1108,1303,99,109,119,1,1.10,1.25,9.50%,4859966,4859966,Kepler's Galaxy,Muad'dib System,475,-50,e,Yes,,,,,
Galaxy 2 Level 6,2,640,50,120,20,40,50,100,30,10,130,40,60,40,10,40,50,100,20,30,210,30,50,60,130,30,70,,295,1368,,27.63%,1414,1663,101,111,121,1,1.10,1.25,9.00%,1966091,1966091,Kepler's Galaxy,Wolowitz System,700,0,f,Yes,,,,,
Galaxy 2 Level 7,0,640,10,20,30,40,10,20,40,20,30,40,10,20,40,40,40,20,10,40,30,40,50,60,20,20,50,,295,675,,-41.67%,825,970,103,113,124,1,1.10,1.25,8.50%,2133822,2133822,Kepler's Galaxy,Eisen System,880,-210,g,Yes,,,,,
Galaxy 2 Level 8,1,640,10,20,30,50,10,20,30,50,50,10,20,30,40,70,10,20,40,50,80,40,10,20,40,70,90,,295,819,,14.85%,947,1114,105,116,126,1,1.10,1.25,8.00%,2623881,2623881,Kepler's Galaxy,Gasca System,1050,-155,h,Yes,,,,,
Galaxy 2 Level 9,3,640,60,40,20,30,40,40,10,20,40,80,50,20,20,30,50,100,30,20,30,40,100,30,50,130,40,,295,1008,,16.97%,1108,1303,106,117,127,1,1.10,1.25,7.50%,1818982,1818982,Kepler's Galaxy,Ferrigno System,1200,-120,i,Yes,,,,,
Galaxy 2 Level 10,2,640,60,144,24,48,60,120,36,12,156,48,72,48,12,48,60,120,24,36,252,36,60,72,156,36,84,,295,1641.6,,48.66%,1646,1937,107,118,128,1,1.10,1.25,7.00%,4326871,4326871,Kepler's Galaxy,Adama System,1400,-110,j,Yes,,,,,
Galaxy 2 Level 11,0,640,10,20,30,40,10,20,40,20,30,40,10,20,40,40,40,20,10,40,30,40,50,60,20,20,50,,295,675,,-49.92%,825,970,108,119,130,1,1.10,1.25,6.50%,3689242,3689242,Kepler's Galaxy,Twiki System,1500,200,k,Yes,,,,,
Galaxy 2 Level 12,1,640,10,20,30,50,10,20,30,50,50,10,20,30,40,70,10,20,40,50,80,40,10,20,40,70,90,,295,819,,14.85%,947,1114,109,120,131,1,1.10,1.25,6.00%,3217517,3217517,Kepler's Galaxy,Goldman System,1650,-40,l,Yes,,,,,
Galaxy 2 Level 13,3,640,72,48,24,36,48,48,12,24,48,96,60,24,24,36,60,120,36,24,36,48,120,36,60,156,48,,295,1209.6,,35.10%,1279,1505,110,121,132,1,1.10,1.25,5.50%,2301670,2301670,Kepler's Galaxy,Nobumoto System,1725,150,m,Yes,,,,,
Galaxy 2 Level 14,2,640,50,120,20,40,50,100,30,10,130,40,60,40,10,40,50,100,20,30,210,30,50,60,130,30,70,,295,1368,,10.50%,1414,1663,111,122,133,1,1.10,1.25,5.00%,1371870,1371870,Kepler's Galaxy,Crichton System,1900,0,n,Yes,,,,,
Galaxy 2 Level 15,3,640,60,40,20,30,40,40,10,20,40,80,50,20,20,30,50,100,30,20,30,40,100,30,50,130,40,,295,1008,,-21.65%,1108,1303,112,123,134,1,1.10,1.25,4.50%,4750673,4750673,Kepler's Galaxy,Harkness System,1950,-200,o,Yes,,,,,
Galaxy 2 Level 16,2,640,50,120,20,40,50,100,30,10,130,40,60,40,10,40,50,100,20,30,210,30,50,60,130,30,70,,295,1368,,27.63%,1414,1663,113,124,136,1,1.10,1.25,4.00%,2901277,2901277,Kepler's Galaxy,Westeros System,2030,-75,p,Yes,,,,,
Galaxy 2 Level 17,0,640,12,24,36,48,12,24,48,24,36,48,12,24,48,48,48,24,12,48,36,48,60,72,24,24,60,,295,810,,-33.55%,939,1105,114,125,137,1,1.10,1.25,4.00%,2550324,2550324,Kepler's Galaxy,Barsoom System,2150,20,d,Yes,,,,,
Galaxy 2 Level 18,1,640,10,20,30,50,10,20,30,50,50,10,20,30,40,70,10,20,40,50,80,40,10,20,40,70,90,,295,819,,0.81%,947,1114,115,127,138,1,1.10,1.25,4.00%,1343286,1343286,Kepler's Galaxy,Gul Dukat System,2300,150,b,Yes,,,,,
Galaxy 2 Level 19,3,640,72,48,24,36,48,48,12,24,48,96,60,24,24,36,60,120,36,24,36,48,120,36,60,156,48,,295,1209.6,,35.10%,1279,1505,116,128,139,1,1.10,1.25,4.00%,1602237,1602237,Kepler's Galaxy,Harryhausen System,2400,120,n,Yes,,,,,
Galaxy 2 Level 20,2,640,50,120,20,40,50,100,30,10,130,40,60,40,10,40,50,100,20,30,210,30,50,60,130,30,70,,295,1368,,10.50%,1414,1663,117,129,140,1,1.10,1.25,4.00%,2629198,2629198,Kepler's Galaxy,Brigg System,2450,-180,e,Yes,,,,,
Galaxy 2 Level 21,0,640,12,24,36,48,12,24,48,24,36,48,12,24,48,48,48,24,12,48,36,48,60,72,24,24,60,,295,810,,-33.55%,939,1105,118,130,142,1,1.10,1.25,4.00%,4624284,4624284,Kepler's Galaxy,Kerensky System,2500,0,f,Yes,,,,,
Galaxy 2 Level 22,1,640,17,34,51,85,17,34,51,85,85,17,34,51,68,119,17,34,68,85,136,68,17,34,68,119,153,,295,1392.3,,52.67%,1434,1687,119,131,143,1,1.10,1.25,4.00%,2945432,2945432,Kepler's Galaxy,Rathbone System,2600,0,k,Yes,,,,,
Galaxy 2 Level 23,3,640,72,48,24,36,48,48,12,24,48,96,60,24,24,36,60,120,36,24,36,48,120,36,60,156,48,,295,1209.6,,-10.79%,1279,1505,120,132,144,1,1.10,1.25,4.00%,2151747,2151747,Kepler's Galaxy,Yavin System,2700,0,b,Yes,,,,,
Galaxy 2 Level 24,2,640,50,120,20,40,50,100,30,10,130,40,60,40,10,40,50,100,20,30,210,30,50,60,130,30,70,,295,1368,,10.50%,1414,1663,121,133,145,1,1.10,1.25,4.00%,1054278,1054278,Kepler's Galaxy,Atreides System,2800,0,o,Yes,,,,,
Galaxy 2 Level 25,0,640,17,34,51,68,17,34,68,34,51,68,17,34,68,68,68,34,17,68,51,68,85,102,34,34,85,,295,1147.5,,-13.23%,1226,1443,122,134,146,1,1.10,1.25,3.90%,4061963,4061963,Kepler's Galaxy,Kubrick System,2900,0,c,Yes,,,,,
Galaxy 2 Level 26,1,640,20,40,60,100,20,40,60,100,100,20,40,60,80,140,20,40,80,100,160,80,20,40,80,140,180,,295,1638,,33.96%,1643,1933,123,135,148,1,1.10,1.25,3.80%,3485231,3485231,Kepler's Galaxy,Barbeau System,3000,0,j,Yes,,,,,
Galaxy 2 Level 27,3,640,120,80,40,60,80,80,20,40,80,160,100,40,40,60,100,200,60,40,60,80,200,60,100,260,80,,295,2016,,19.56%,1964,2311,124,136,149,1,1.10,1.25,3.70%,1738913,1738913,Kepler's Galaxy,Khambatta System,3100,0,i,Yes,,,,,
Galaxy 2 Level 28,2,640,85,204,34,68,85,170,51,17,221,68,102,68,17,68,85,170,34,51,357,51,85,102,221,51,119,,295,2325.6,,13.41%,2228,2621,125,138,150,1,1.10,1.25,3.60%,3767708,3767708,Kepler's Galaxy,Windu System,3200,0,p,Yes,,,,,
Galaxy 2 Level 29,0,640,14,34,51,68,17,34,68,34,51,68,17,34,68,68,68,34,17,68,51,68,85,102,34,34,85,,295,1144.8,,-45.06%,1224,1440,126,139,151,1,1.10,1.25,3.50%,2145765,2145765,Kepler's Galaxy,Cimmeria System,3300,0,h,Yes,,,,,
Galaxy 2 Level 30,1,640,12,34,51,85,17,34,51,85,85,17,34,51,68,119,17,34,68,85,136,68,17,34,68,119,153,,295,1387.8,,16.88%,1430,1683,127,140,152,1,1.10,1.25,3.40%,1803178,1803178,Kepler's Galaxy,Kohnert 3 System,3400,0,d,Yes,,,,,
Galaxy 2 Level 31,3,640,84,68,34,51,68,68,17,34,68,136,85,34,34,51,85,170,51,34,51,68,170,51,85,221,68,,295,1697.4,,18.36%,1694,1992,128,141,154,1,1.10,1.25,3.30%,1308585,1308585,Kepler's Galaxy,Yippeekiyay System,3500,0,f,Yes,,,,,
Galaxy 2 Level 32,2,640,100,204,34,68,85,170,51,17,221,68,102,68,17,68,85,170,34,51,357,51,85,102,221,51,119,,295,2339.1,,32.23%,2239,2634,129,142,155,1,1.10,1.25,3.20%,4761131,4761131,Kepler's Galaxy,Sidious System,3600,0,k,Yes,,,,,
Galaxy 2 Level 33,0,640,14,34,51,68,17,34,68,34,51,68,17,34,68,68,68,34,17,68,51,68,85,102,34,34,85,,295,1144.8,,-45.33%,1224,1440,130,143,156,1,1.10,1.25,3.10%,4568578,4568578,Kepler's Galaxy,Buckland System,3700,0,e,Yes,,,,,
Galaxy 2 Level 34,1,640,20,34,51,85,17,34,51,85,85,17,34,51,68,119,17,34,68,85,136,68,17,34,68,119,153,,295,1395,,17.36%,1437,1690,131,144,157,1,1.10,1.25,3.00%,3657741,3657741,Kepler's Galaxy,Harlock System,3800,0,o,Yes,,,,,
Galaxy 2 Level 35,3,640,144,68,34,51,68,68,17,34,68,136,85,34,34,51,85,170,51,34,51,68,170,51,85,221,68,,295,1751.4,,21.07%,1739,2046,132,145,158,1,1.10,1.25,2.90%,2405929,2405929,Kepler's Galaxy,Mifune System,3900,0,c,Yes,,,,,
Galaxy 2 Level 36,2,640,120,204,34,68,85,170,51,17,221,68,102,68,17,68,85,170,34,51,357,51,85,102,221,51,119,,295,2357.1,,29.62%,2254,2652,133,146,160,1,1.10,1.25,2.80%,1104970,1104970,Kepler's Galaxy,Janeway System,4000,0,h,Yes,,,,,
Galaxy 2 Level 37,0,640,24,34,51,68,17,34,68,34,51,68,17,34,68,68,68,34,17,68,51,68,85,102,34,34,85,,295,1153.8,,-45.36%,1231,1449,134,147,161,1,1.10,1.25,2.70%,4085714,4085714,Kepler's Galaxy,Colitis System,4100,0,f,Yes,,,,,
Galaxy 2 Level 38,1,640,20,34,51,85,17,34,51,85,85,17,34,51,68,119,17,34,68,85,136,68,17,34,68,119,153,,295,1395,,16.63%,1437,1690,135,149,162,1,1.10,1.25,2.60%,3605051,3605051,Kepler's Galaxy,Zyrtek System,4200,0,a,Yes,,,,,
Galaxy 2 Level 39,3,640,120,68,34,51,68,68,17,34,68,136,85,34,34,51,85,170,51,34,51,68,170,51,85,221,68,,295,1729.8,,19.82%,1721,2025,136,150,163,1,1.10,1.25,2.50%,2673091,2673091,Kepler's Galaxy,Brobdingnag System,4300,0,l,Yes,,,,,
Galaxy 2 Level 40,2,640,50,204,34,68,85,170,51,17,221,68,102,68,17,68,85,170,34,51,357,51,85,102,221,51,119,,295,2294.1,,127.85%,2201,2589,137,151,164,1,1.10,1.25,2.40%,4152278,4152278,Kepler's Galaxy, Sheboygan System,4400,0,d,Yes,,,,,
